index,neighbourhood,type of crime,lat,long,x,y
3447,Alameda,False Pretenses/Swindle/Confidence Game,45.5518063,-122.6432658,7653129,694558
3450,Alameda,Motor Vehicle Theft,45.54665443,-122.6436726,7652975,692683
3451,Alameda,Burglary,45.54210492,-122.6437038,7652923,691025
3452,Alameda,Theft of Motor Vehicle Parts or Accessories,45.54210492,-122.6437038,7652923,691025
3453,Alameda,All Other Larceny,45.54890227,-122.6436286,7653008,693502
3454,Alameda,Motor Vehicle Theft,45.54366625,-122.6436925,7652941,691594
3455,Alameda,Vandalism,45.55140809,-122.6424034,7653346,694407
3456,Alameda,Motor Vehicle Theft,45.54665177,-122.6426377,7653240,692675
3457,Alameda,Simple Assault,45.54827558,-122.6405982,7653778,693253
3458,Alameda,False Pretenses/Swindle/Confidence Game,45.54818777,-122.6405988,7653777,693221
3459,Alameda,All Other Larceny,45.54940351,-122.6405822,7653793,693664
3460,Alameda,Theft From Motor Vehicle,45.55429501,-122.6404543,7653873,695446
3461,Alameda,All Other Larceny,45.55311943,-122.6396407,7654070,695012
3462,Alameda,Motor Vehicle Theft,45.55311943,-122.6396407,7654070,695012
3463,Alameda,Motor Vehicle Theft,45.5496589,-122.6395375,7654063,693750
3464,Alameda,Theft of Motor Vehicle Parts or Accessories,45.55272454,-122.6384503,7654371,694860
3465,Alameda,Motor Vehicle Theft,45.54828045,-122.6385679,7654298,693241
3466,Alameda,Vandalism,45.54819264,-122.6385685,7654297,693209
3467,Alameda,Theft From Motor Vehicle,45.54828045,-122.6385679,7654298,693241
3468,Alameda,Motor Vehicle Theft,45.54665613,-122.6385731,7654281,692649
3469,Alameda,Vandalism,45.54511969,-122.6385738,7654266,692089
3470,Alameda,All Other Larceny,45.54244561,-122.6432364,7653046,691146
3471,Alameda,Theft From Motor Vehicle,45.55043504,-122.638817,7654255,694028
3472,Alameda,All Other Larceny,45.55173088,-122.6378857,7654506,694494
3473,Alameda,Theft From Building,45.54819506,-122.6375534,7654557,693203
3474,Alameda,Credit Card/ATM Fraud,45.54819506,-122.6375534,7654557,693203
3475,Alameda,Theft From Building,45.54819506,-122.6375534,7654557,693203
3476,Alameda,Theft From Motor Vehicle,45.55117211,-122.6382786,7654400,694293
3477,Alameda,Burglary,45.55437083,-122.6374111,7654653,695453
3478,Alameda,Motor Vehicle Theft,45.54323278,-122.641189,7653578,691419
3479,Alameda,Theft From Motor Vehicle,45.54323158,-122.6380107,7654392,691397
3480,Alameda,Theft From Motor Vehicle,45.54322851,-122.6369954,7654652,691389
3481,Alameda,Theft of Motor Vehicle Parts or Accessories,45.54324025,-122.6338527,7655457,691372
3482,Alameda,Motor Vehicle Theft,45.54324851,-122.6307451,7656253,691354
3483,Alameda,Theft From Motor Vehicle,45.54326457,-122.6297305,7656513,691353
3484,Alameda,Theft of Motor Vehicle Parts or Accessories,45.54326417,-122.6287154,7656773,691346
3485,Alameda,Theft of Motor Vehicle Parts or Accessories,45.54828355,-122.6364829,7654832,693228
3486,Alameda,All Other Larceny,45.54400608,-122.6441543,7652826,691721
3487,Alameda,Credit Card/ATM Fraud,45.54400608,-122.6441543,7652826,691721
3488,Alameda,Theft From Motor Vehicle,45.54401548,-122.6359864,7654918,691669
3489,Alameda,Theft From Motor Vehicle,45.54403385,-122.6336678,7655512,691660
3490,Alameda,Theft of Motor Vehicle Parts or Accessories,45.54403859,-122.6316376,7656032,691648
3491,Alameda,Theft From Motor Vehicle,45.54413741,-122.6307472,7656261,691678
3492,Alameda,Vandalism,45.5441425,-122.6297322,7656521,691673
3493,Alameda,Vandalism,45.5441425,-122.6297322,7656521,691673
3494,Alameda,Theft of Motor Vehicle Parts or Accessories,45.55436467,-122.6353801,7655173,695437
3495,Alameda,Identity Theft,45.54486558,-122.6337928,7655488,691964
3496,Alameda,Theft of Motor Vehicle Parts or Accessories,45.54486558,-122.6337928,7655488,691964
3497,Alameda,All Other Larceny,45.54498154,-122.6296114,7656560,691978
3498,Alameda,Motor Vehicle Theft,45.55134418,-122.6344816,7655374,694330
3499,Alameda,Motor Vehicle Theft,45.55300906,-122.6343606,7655421,694936
3500,Alameda,Theft of Motor Vehicle Parts or Accessories,45.55309686,-122.63436,7655422,694968
3501,Alameda,Vandalism,45.55309686,-122.63436,7655422,694968
3502,Alameda,Motor Vehicle Theft,45.54523042,-122.6342399,7655377,692100
3503,Alameda,Vandalism,45.54366663,-122.6342358,7655363,691530
3504,Alameda,Theft From Motor Vehicle,45.54554215,-122.6390192,7654156,692246
3505,Alameda,Vandalism,45.54562864,-122.6348094,7655235,692249
3506,Alameda,Theft From Motor Vehicle,45.54563534,-122.631639,7656047,692230
3507,Alameda,Theft From Motor Vehicle,45.54563534,-122.631639,7656047,692230
3508,Alameda,Motor Vehicle Theft,45.55309484,-122.6334344,7655659,694961
3509,Alameda,Theft of Motor Vehicle Parts or Accessories,45.54631922,-122.6441402,7652852,692564
3510,Alameda,Theft of Motor Vehicle Parts or Accessories,45.5506693,-122.6322616,7655936,694069
3511,Alameda,Vandalism,45.5506693,-122.6322616,7655936,694069
3512,Alameda,All Other Larceny,45.54950137,-122.6314758,7656126,693638
3513,Alameda,Theft From Motor Vehicle,45.54667512,-122.6311978,7656170,692606
3514,Alameda,All Other Larceny,45.55182462,-122.6312116,7656216,694483
3515,Alameda,Motor Vehicle Theft,45.54707859,-122.6390185,7654171,692806
3516,Alameda,Motor Vehicle Theft,45.54708569,-122.6359809,7654949,692788
3517,Alameda,Theft of Motor Vehicle Parts or Accessories,45.54785118,-122.6432024,7653107,693116
3518,Alameda,Identity Theft,45.54785118,-122.6432024,7653107,693116
3519,Alameda,Vandalism,45.5478509,-122.6421871,7653367,693109
3520,Alameda,Vandalism,45.54784745,-122.6410468,7653659,693100
3521,Alameda,Motor Vehicle Theft,45.54866297,-122.6430729,7653148,693411
3522,Alameda,Burglary,45.54866338,-122.6431979,7653116,693412
3523,Alameda,Vandalism,45.54876881,-122.6381256,7654416,693416
3524,Alameda,Burglary,45.54996583,-122.6441218,7652892,693893
