St_Num,St_Dir,St_Name,St_Type,St_Addr,City,Zip,X,Y,Address,Price,Neighborhood
2627,NW,Sussex,Ave,2627 NW Sussex Ave,Portland,97210,-122.72054569,45.54157314,"2627 NW Sussex Ave, Portland, OR 97210",499900,NORTHWEST DISTRICT
2641,NW,Sussex,Ave,2641 NW Sussex Ave,Portland,97210,-122.72061953,45.54160022,"2641 NW Sussex Ave, Portland, OR 97210",529900,NORTHWEST DISTRICT
2125,NW,33rd,Ave,2125 NW 33rd Ave,Portland,97210,-122.71607252,45.53777614,"2125 NW 33rd Ave, Portland, OR 97210",650000,NORTHWEST DISTRICT
1718,NW,Riverscape,St,1718 NW Riverscape St,Portland,97209,-122.68859823,45.53856802,"1718 NW Riverscape St, Portland, OR 97209",660000,NORTHWEST DISTRICT
1223,NW,19th,Ave,1223 NW 19th Ave,Portland,97209,-122.69058743,45.53168501,"1223 NW 19th Ave, Portland, OR 97209",875000,NORTHWEST DISTRICT
2117,NW,23rd,Ave,2117 NW 23rd Ave,Portland,97210,-122.69892918,45.53789977,"2117 NW 23rd Ave, Portland, OR 97210",899000,NORTHWEST DISTRICT
2391,NW,Irving,St,2391 NW Irving St,Portland,97210,-122.70036961,45.52767217,"2391 NW Irving St, Portland, OR 97210",1190000,NORTHWEST DISTRICT
2069,NW,Overton,St,2069 NW Overton St,Portland,97209,-122.69406189,45.53205109,"2069 NW Overton St, Portland, OR 97209",1295000,NORTHWEST DISTRICT
2409,NW,Marshall,St,2409 NW Marshall St,Portland,97210,-122.70098384,45.53048937,"2409 NW Marshall St, Portland, OR 97210",1300000,NORTHWEST DISTRICT
2334,NW,Northrup,St,2334 NW Northrup St,Portland,97210,-122.69947870,45.53116458,"2334 NW Northrup St, Portland, OR 97210",1300000,NORTHWEST DISTRICT
2470,NW,Westover,Rd,2470 NW Westover Rd,Portland,97210,-122.70187953,45.52753832,"2470 NW Westover Rd, Portland, OR 97210",1500000,NORTHWEST DISTRICT
2423,NW,Northrup,St,2423 NW Northrup St,Portland,97210,-122.70130788,45.53118662,"2423 NW Northrup St, Portland, OR 97210",1839000,NORTHWEST DISTRICT
1712,NW,Riverscape,St,1712 NW Riverscape St,Portland,97209,-122.68830817,45.53843798,"1712 NW Riverscape St, Portland, OR 97209",2595000,NORTHWEST DISTRICT
2711,NE,28th,Ave,2711 NE 28th Ave,Portland,97212,-122.63709161,45.54226327,"2711 NE 28th Ave, Portland, OR 97212",719500,ALAMEDA
2743,NE,29th,Ave,2743 NE 29th Ave,Portland,97212,-122.63596215,45.54277758,"2743 NE 29th Ave, Portland, OR 97212",1150000,ALAMEDA
2820,NE,32nd,Ave,2820 NE 32nd Ave,Portland,97212,-122.63275062,45.54313670,"2820 NE 32nd Ave, Portland, OR 97212",1324900,ALAMEDA
3117,NE,33rd,Ave,3117 NE 33rd Ave,Portland,97212,-122.63070753,45.54560299,"3117 NE 33rd Ave, Portland, OR 97212",442900,ALAMEDA
3136,NE,31st,Ave,3136 NE 31st Ave,Portland,97212,-122.63372728,45.54586095,"3136 NE 31st Ave, Portland, OR 97212",550000,ALAMEDA
3147,NE,32nd,Ave,3147 NE 32nd Ave,Portland,97212,-122.63273763,45.54600507,"3147 NE 32nd Ave, Portland, OR 97212",599900,ALAMEDA
3415,NE,26th,Ave,3415 NE 26th Ave,Portland,97212,-122.63909429,45.54768916,"3415 NE 26th Ave, Portland, OR 97212",705000,ALAMEDA
2817,NE,Fremont,St,2817 NE Fremont St,Portland,97212,-122.63660697,45.54826747,"2817 NE Fremont St, Portland, OR 97212",790000,ALAMEDA
3107,NE,Alameda,St,3107 NE Alameda St,Portland,97212,-122.63435944,45.54976138,"3107 NE Alameda St, Portland, OR 97212",950000,ALAMEDA
2633,NE,Alameda,St,2633 NE Alameda St,Portland,97212,-122.63954189,45.55076490,"2633 NE Alameda St, Portland, OR 97212",1698000,ALAMEDA
4024,NE,32nd,Pl,4024 NE 32nd Pl,Portland,97212,-122.63172249,45.55222700,"4024 NE 32nd Pl, Portland, OR 97212",745000,ALAMEDA
1787,N,Ainsworth,St,1787 N Ainsworth St,Portland,97217,-122.68554622,45.56634938,"1787 N Ainsworth St, Portland, OR 97217",769000,ARBOR LODGE
6116,N,Greeley,Ave,6116 N Greeley Ave,Portland,97217,-122.69556569,45.56722462,"6116 N Greeley Ave, Portland, OR 97217",379900,ARBOR LODGE
1811,N,Colfax,St,1811 N Colfax St,Portland,97217,-122.68549500,45.56775749,"1811 N Colfax St, Portland, OR 97217",605000,ARBOR LODGE
6227,N,Wilbur,Ave,6227 N Wilbur Ave,Portland,97217,-122.69356074,45.56788498,"6227 N Wilbur Ave, Portland, OR 97217",869000,ARBOR LODGE
1215,N,Holman,St,1215 N Holman St,Portland,97217,-122.67954620,45.56846669,"1215 N Holman St, Portland, OR 97217",499000,ARBOR LODGE
2622,N,Rosa Parks,Way,2622 N Rosa Parks Way,Portland,97217,-122.69396031,45.56990921,"2622 N Rosa Parks Way, Portland, OR 97217",649900,ARBOR LODGE
6535,N,Interstate,Ave,6535 N Interstate Ave,Portland,97217,-122.68226613,45.57051954,"6535 N Interstate Ave, Portland, OR 97217",750000,ARBOR LODGE
6616,N,Montana,Ave,6616 N Montana Ave,Portland,97217,-122.67976253,45.57119399,"6616 N Montana Ave, Portland, OR 97217",475000,ARBOR LODGE
6625,N,Campbell,Ave,6625 N Campbell Ave,Portland,97217,-122.68631752,45.57121901,"6625 N Campbell Ave, Portland, OR 97217",729900,ARBOR LODGE
6704,N,Knowles,Ave,6704 N Knowles Ave,Portland,97217,-122.69931156,45.57124135,"6704 N Knowles Ave, Portland, OR 97217",829950,ARBOR LODGE
6849,N,Newcastle,Ave,6849 N Newcastle Ave,Portland,97217,-122.68991310,45.57249348,"6849 N Newcastle Ave, Portland, OR 97217",449997,ARBOR LODGE
6954,N,Oatman,Ave,6954 N Oatman Ave,Portland,97217,-122.70043926,45.57319626,"6954 N Oatman Ave, Portland, OR 97217",599000,ARBOR LODGE
6974,N,Knowles,Ave,6974 N Knowles Ave,Portland,97217,-122.69929354,45.57347374,"6974 N Knowles Ave, Portland, OR 97217",424000,ARBOR LODGE
7033,N,Greenwich,Ave,7033 N Greenwich Ave,Portland,97217,-122.68324756,45.57406898,"7033 N Greenwich Ave, Portland, OR 97217",365400,ARBOR LODGE
7115,N,Fenwick,Ave,7115 N Fenwick Ave,Portland,97217,-122.68526500,45.57464008,"7115 N Fenwick Ave, Portland, OR 97217",600000,ARBOR LODGE
1235,N,Morgan,St,1235 N Morgan St,Portland,97217,-122.67959004,45.57468753,"1235 N Morgan St, Portland, OR 97217",405000,ARBOR LODGE
7124,N,Montana,Ave,7124 N Montana Ave,Portland,97217,-122.67977955,45.57484012,"7124 N Montana Ave, Portland, OR 97217",624900,ARBOR LODGE
7117,N,Seward,Ave,7117 N Seward Ave,Portland,97217,-122.70384726,45.57489565,"7117 N Seward Ave, Portland, OR 97217",699900,ARBOR LODGE
7128,N,Knowles,Ave,7128 N Knowles Ave,Portland,97217,-122.69930251,45.57509899,"7128 N Knowles Ave, Portland, OR 97217",375000,ARBOR LODGE
7128,N,Curtis,Ave,7128 N Curtis Ave,Portland,97217,-122.69818638,45.57509916,"7128 N Curtis Ave, Portland, OR 97217",730000,ARBOR LODGE
7136,N,Chase,Ave,7136 N Chase Ave,Portland,97217,-122.70481529,45.57519560,"7136 N Chase Ave, Portland, OR 97217",799000,ARBOR LODGE
7215,N,Campbell,Ave,7215 N Campbell Ave,Portland,97217,-122.68628751,45.57561301,"7215 N Campbell Ave, Portland, OR 97217",399000,ARBOR LODGE
