,Address,Price,Zip Code,Size,Neighbourhood
1305,"9409 SE Sun Crest Dr, Happy Valley, OR 97086",625000,97086,2916,Happy Valley
2155,"9212 SE Grandview Ter, Happy Valley, OR 97086",639000,97086,3142,Happy Valley
4,"1828 SW 18th Ave Apt 10, Portland, OR 97201",400000,97201,1046,Hillsdale
13,"2309 SW 1st Ave Apt 644, Portland, OR 97201",420000,97201,1497,Hillsdale
57,"2321 SW Montgomery Dr, Portland, OR 97201",974900,97201,2619,Hillsdale
139,"3029 S Water Ave, Portland, OR 97201",439000,97201,2632,Hillsdale
157,"1440 SW Broadway Dr, Portland, OR 97201",457000,97201,2340,Hillsdale
172,"842 SW Broadway Dr Unit 2, Portland, OR 97201",759000,97201,2185,Hillsdale
216,"2221 SW 1st Ave Apt 1824, Portland, OR 97201",495000,97201,1473,Hillsdale
238,"1625 SW Montgomery St Unit B, Portland, OR 97201",949000,97201,2634,Hillsdale
243,"1320 SW Hall St Apt 103, Portland, OR 97201",349500,97201,1206,Hillsdale
294,"2828 S Water Ave, Portland, OR 97201",750000,97201,3841,Hillsdale
307,"1500 SW 5th Ave Unit 2003, Portland, OR 97201",650000,97201,1319,Hillsdale
366,"1900 S River Dr Unit N112, Portland, OR 97201",550000,97201,1885,Hillsdale
376,"1730 S Harbor Way Unit 501, Portland, OR 97201",425000,97201,1206,Hillsdale
389,"1500 SW 5th Ave Unit 606, Portland, OR 97201",599000,97201,1319,Hillsdale
483,"2309 SW 1st Ave Apt 1045, Portland, OR 97201",375000,97201,2062,Hillsdale
511,"2321 SW Sherwood Dr, Portland, OR 97201",599000,97201,1015,Hillsdale
525,"2121 SW 16th Ave, Portland, OR 97201",2095000,97201,5856,Hillsdale
544,"2851 SW Montgomery Dr, Portland, OR 97201",849000,97201,2102,Hillsdale
545,"1900 S River Dr Unit 1005, Portland, OR 97201",825000,97201,1650,Hillsdale
654,"255 SW Harrison St Apt TH10, Portland, OR 97201",479900,97201,1184,Hillsdale
657,"2309 SW 1st Ave Apt 543, Portland, OR 97201",329000,97201,1332,Hillsdale
702,"2309 SW 1st Ave Apt 544, Portland, OR 97201",395000,97201,1497,Hillsdale
712,"1025 SW Davenport St, Portland, OR 97201",2350000,97201,4359,Hillsdale
728,"2221 SW 1st Ave Apt 2121, Portland, OR 97201",389000,97201,1267,Hillsdale
732,"2780 SW Talbot Rd, Portland, OR 97201",1699000,97201,4810,Hillsdale
775,"1815 SW 16th Ave Apt 401, Portland, OR 97201",620000,97201,1652,Hillsdale
804,"1500 SW 5th Ave Unit 906, Portland, OR 97201",399900,97201,1319,Hillsdale
808,"1500 SW 11th Ave Unit 1504, Portland, OR 97201",779900,97201,1248,Hillsdale
826,"2808 SW Patton Ln, Portland, OR 97201",2600000,97201,4350,Hillsdale
844,"1960 SW Vista Ave, Portland, OR 97201",1980000,97201,6526,Hillsdale
869,"843 SW Broadway Dr Apt 61, Portland, OR 97201",300000,97201,1054,Hillsdale
