Neighbourhood,Zip Code
Almeda,97212
Arbor Lodge,97217
Ardenwald,97222
Argay,97230
Arlington Heights ,97201
Arnold Creek,97219
Ash Creek ,97219
Beaumont Wilshire,97212
Boise,97227
Brentwood Darlington,97206
Bridgeton,97217
Bridlemile,97221
Brooklyn,97202
Buckman,97214
Cathedral Park,97203
Centennial,97233
Center ,97213
Collins View,97219
Concordia,97211
Corbett Terwilliger Lair Hill,97201
Creston Kenilworth,97202
Crestwood,97219
Cully,97218
Downtown,97205
East Columbia,97211
Eastmoreland,97202
Eliot,97212
Far Southwest,97219
Forest Park,97229
Foster Powell,97206
Glenfair,97230
Goose Hollow,97204
Grant Park,97212
Hayden Island,97217
Hayhurst,97221
Hazelwood,97216
Healy Heights,97239
Hillsdale,97201
Hillside,97210
Hollywood,97212
Homestead,97239
Hosford Abernethy,97202
Humboldt,97217
Irvington,97212
Kenton,97217
Kerns,97232
King,97211
Laurelhurst,97232
Lents,97266
Linnton ,97210
Lloyd District ,97232
Madison South ,97220
Maplewood ,97219
Markham ,97219
Marshall Park,97219
Mill Park ,97216
Montavilla,97213
Mt Scott Arleta ,97206
Mt Tabor ,97215
Multnomah ,97219
Northwest ,97210
Northwest Heights,97229
Old Town Chinatown,97209
Overlook ,97227
Parkrose ,97220
Parkrose Heights,97220
Pearl District,97209
Piedmont,97217
Pleasant Valley,97236
Portland Northwest Industrial,97296
Portsmouth ,97203
Powellhurst Gilbert,97236
Reed,97202
Richmond,97214
Rose City Park,97213
Roseway,97213
Russell,97230
Sabin,97211
Sellwood Moreland,97202
South Burlingame,97219
South Tabor,97206
Southwest Hills,97201
St. Johns,97203
Sullivans Gulch,97232
Sumner,97220
Sunnyside,97214
Sylvan Highlands,97221
University Park,97203
Vernon,97211
West Portland,97219
Wilkes,97230
Woodland Park,97220
Woodlawn,97211
Woodstock,97206
