,Neighborhood,OffenseType,OpenDataLat,OpenDataLon,OpenDataX,OpenDataY
0,Centennial,Simple Assault,,,,
1,Parkrose,Aggravated Assault,,,,
2,Parkrose,Weapons Law Violations,,,,
3,Woodstock,Simple Assault,,,,
4,Woodstock,Kidnapping/Abduction,,,,
5,Powellhurst-Gilbert,Simple Assault,,,,
6,Centennial,Simple Assault,,,,
7,Hazelwood,Aggravated Assault,,,,
8,Downtown,Aggravated Assault,,,,
9,Mt Scott-Arleta,Aggravated Assault,,,,
10,Argay,Aggravated Assault,,,,
11,Argay,Murder and Non-negligent Manslaughter,,,,
12,Glenfair,Simple Assault,,,,
13,Centennial,Simple Assault,,,,
14,Reed,Simple Assault,,,,
15,Woodstock,Simple Assault,,,,
16,Parkrose Heights,Aggravated Assault,,,,
17,Humboldt,Simple Assault,,,,
18,Piedmont,Murder and Non-negligent Manslaughter,,,,
19,King,Aggravated Assault,,,,
20,Centennial,Simple Assault,,,,
21,Roseway,Simple Assault,,,,
22,Eliot,Robbery,,,,
23,South Portland,Simple Assault,,,,
24,Creston-Kenilworth,Rape,,,,
25,Old Town/Chinatown,Aggravated Assault,,,,
26,Old Town/Chinatown,Sexual Assault With An Object,,,,
27,Old Town/Chinatown,Robbery,,,,
28,Downtown,Aggravated Assault,,,,
29,Mt Scott-Arleta,Aggravated Assault,,,,
30,Hayden Island,Simple Assault,,,,
31,Lents,Simple Assault,,,,
32,Centennial,Simple Assault,,,,
33,Argay,Aggravated Assault,,,,
34,Lents,Simple Assault,,,,
35,,Simple Assault,,,,
36,Glenfair,Simple Assault,,,,
37,Kerns,Simple Assault,,,,
38,Hazelwood,Simple Assault,,,,
39,Hazelwood,Aggravated Assault,,,,
40,Downtown,Simple Assault,,,,
41,Centennial,Simple Assault,,,,
42,Powellhurst-Gilbert,Simple Assault,,,,
43,,Kidnapping/Abduction,,,,
44,,Rape,,,,
45,Eliot,Aggravated Assault,,,,
46,Portsmouth,Simple Assault,,,,
47,Centennial,Aggravated Assault,,,,
48,Powellhurst-Gilbert,Simple Assault,,,,
49,Buckman East,Aggravated Assault,,,,
50,Foster-Powell,Simple Assault,,,,
51,Hazelwood,Simple Assault,,,,
52,Hazelwood,Burglary,,,,
53,Hazelwood,Vandalism,,,,
54,Downtown,Simple Assault,,,,
55,Powellhurst-Gilbert,Simple Assault,,,,
56,South Tabor,Vandalism,,,,
57,Lloyd,Simple Assault,,,,
58,St Johns,Aggravated Assault,,,,
59,Goose Hollow,Rape,,,,
60,Cully,Motor Vehicle Theft,,,,
61,Argay,Kidnapping/Abduction,,,,
62,Downtown,Sodomy,,,,
63,Powellhurst-Gilbert,Simple Assault,,,,
64,Hazelwood,Simple Assault,,,,
65,Montavilla,Aggravated Assault,,,,
66,Multnomah,Simple Assault,,,,
67,Alameda,Intimidation,,,,
68,Cathedral Park,Aggravated Assault,,,,
69,South Tabor,Burglary,,,,
70,Glenfair,Simple Assault,,,,
71,,Simple Assault,,,,
72,Piedmont,Simple Assault,,,,
73,St Johns,Intimidation,,,,
74,Goose Hollow,Simple Assault,,,,
75,Parkrose,Rape,,,,
76,Argay,Simple Assault,,,,
77,Old Town/Chinatown,Rape,,,,
78,Kenton,Aggravated Assault,,,,
79,,Aggravated Assault,,,,
80,St Johns,Simple Assault,,,,
81,Montavilla,Simple Assault,,,,
82,Goose Hollow,Simple Assault,,,,
83,Hazelwood,Simple Assault,,,,
84,Madison South,Simple Assault,,,,
85,Lloyd,Kidnapping/Abduction,,,,
86,Hazelwood,Aggravated Assault,,,,
87,Eliot,Simple Assault,,,,
88,Centennial,Simple Assault,,,,
89,Hazelwood,Murder and Non-negligent Manslaughter,,,,
90,Downtown,Simple Assault,,,,
91,Lents,Aggravated Assault,,,,
92,Centennial,Simple Assault,,,,
93,Concordia,Intimidation,,,,
94,Downtown,Simple Assault,,,,
95,Wilkes,Aggravated Assault,,,,
96,Northwest,Simple Assault,,,,
97,Hazelwood,Simple Assault,,,,
98,Centennial,Intimidation,,,,
99,Centennial,Credit Card/ATM Fraud,,,,
100,Centennial,Theft From Motor Vehicle,,,,
101,Parkrose Heights,Simple Assault,,,,
102,Roseway,Simple Assault,,,,
103,Centennial,Vandalism,,,,
104,Madison South,Simple Assault,,,,
105,Foster-Powell,Simple Assault,,,,
106,Centennial,Aggravated Assault,,,,
107,Hazelwood,Simple Assault,,,,
108,West Portland Park,Vandalism,,,,
109,Cully,Simple Assault,,,,
110,Concordia,Simple Assault,,,,
111,Centennial,Simple Assault,,,,
112,Glenfair,Simple Assault,,,,
113,Boise,Fondling,,,,
114,Northwest,Aggravated Assault,,,,
115,Rose City Park,Simple Assault,,,,
116,Rose City Park,Simple Assault,,,,
117,Pearl,Vandalism,,,,
118,Glenfair,Aggravated Assault,,,,
119,Mt Scott-Arleta,Simple Assault,,,,
120,Hazelwood,Simple Assault,,,,
121,Mill Park,Simple Assault,,,,
122,Concordia,Simple Assault,,,,
123,,Commercial Sex Acts,,,,
124,Northwest,Simple Assault,,,,
125,King,Simple Assault,,,,
126,Concordia,Rape,,,,
127,Wilkes,Rape,,,,
128,Multnomah,Simple Assault,,,,
129,Hazelwood,Simple Assault,,,,
130,Sumner,Simple Assault,,,,
131,Lents,Simple Assault,,,,
132,Concordia,Vandalism,,,,
133,Woodlawn,Vandalism,,,,
134,Hazelwood,Aggravated Assault,,,,
135,South Portland,Simple Assault,,,,
136,Brooklyn,Simple Assault,,,,
137,Powellhurst-Gilbert,Aggravated Assault,,,,
138,Hayden Island,Pocket-Picking,,,,
139,Centennial,Robbery,,,,
140,Irvington,Aggravated Assault,,,,
141,Woodstock,Robbery,,,,
142,Eliot,Aggravated Assault,,,,
143,Sellwood-Moreland,Simple Assault,,,,
144,Hazelwood,Simple Assault,,,,
145,Cully,Simple Assault,,,,
146,Glenfair,Simple Assault,,,,
147,Montavilla,Vandalism,,,,
148,Buckman West,Fondling,,,,
149,Hazelwood,Aggravated Assault,,,,
150,Montavilla,Aggravated Assault,,,,
151,South Tabor,Simple Assault,,,,
152,Centennial,Aggravated Assault,,,,
153,Humboldt,Rape,,,,
154,Argay,Simple Assault,,,,
155,Downtown,Simple Assault,,,,
156,Hazelwood,Rape,,,,
157,Old Town/Chinatown,Rape,,,,
158,Lents,Aggravated Assault,,,,
159,Ashcreek,Simple Assault,,,,
160,Centennial,Fondling,,,,
161,Montavilla,Aggravated Assault,,,,
162,Centennial,Simple Assault,,,,
163,Montavilla,Kidnapping/Abduction,,,,
164,Downtown,Simple Assault,,,,
165,Centennial,Simple Assault,,,,
166,Portsmouth,Simple Assault,,,,
167,Lloyd,Simple Assault,,,,
168,Portsmouth,Kidnapping/Abduction,,,,
169,Wilkes,Aggravated Assault,,,,
170,Goose Hollow,Aggravated Assault,,,,
171,Foster-Powell,Sexual Assault With An Object,,,,
172,St Johns,Simple Assault,,,,
173,Powellhurst-Gilbert,Aggravated Assault,,,,
174,Sellwood-Moreland,Fondling,,,,
175,Hazelwood,Simple Assault,,,,
176,Downtown,Vandalism,,,,
177,Hazelwood,Simple Assault,,,,
178,Lloyd,Simple Assault,,,,
179,St Johns,Simple Assault,,,,
180,Old Town/Chinatown,Simple Assault,,,,
181,Buckman East,Simple Assault,,,,
182,Centennial,Simple Assault,,,,
183,,Sodomy,,,,
184,Boise,Simple Assault,,,,
185,,Aggravated Assault,,,,
186,Multnomah,Aggravated Assault,,,,
187,Montavilla,Simple Assault,,,,
188,Parkrose,Aggravated Assault,,,,
189,Parkrose,Simple Assault,,,,
190,Mill Park,Aggravated Assault,,,,
191,Kenton,Aggravated Assault,,,,
192,Powellhurst-Gilbert,Aggravated Assault,,,,
193,Eliot,Murder and Non-negligent Manslaughter,,,,
194,Montavilla,Fondling,,,,
195,Woodstock,Aggravated Assault,,,,
196,Downtown,Simple Assault,,,,
197,Powellhurst-Gilbert,Vandalism,,,,
198,Old Town/Chinatown,Fondling,,,,
199,Argay,Aggravated Assault,,,,
200,Hosford-Abernethy,Fondling,,,,
201,Sellwood-Moreland,Vandalism,,,,
202,,Simple Assault,,,,
203,Creston-Kenilworth,Simple Assault,,,,
204,Mill Park,Simple Assault,,,,
205,Hazelwood,Simple Assault,,,,
206,Lents,Simple Assault,,,,
207,East Columbia,Kidnapping/Abduction,,,,
208,Portsmouth,Intimidation,,,,
209,Rose City Park,Aggravated Assault,,,,
210,Cully,Simple Assault,,,,
211,Portsmouth,All Other Larceny,,,,
212,Portsmouth,Simple Assault,,,,
213,Old Town/Chinatown,Simple Assault,,,,
214,Montavilla,Simple Assault,,,,
215,Lents,Simple Assault,,,,
216,Foster-Powell,Simple Assault,,,,
217,Northwest,Aggravated Assault,,,,
218,Cully,Simple Assault,,,,
219,Old Town/Chinatown,Simple Assault,,,,
220,Goose Hollow,Simple Assault,,,,
221,Goose Hollow,Animal Cruelty,,,,
222,Downtown,Aggravated Assault,,,,
223,Hazelwood,Simple Assault,,,,
224,Northwest,Rape,,,,
225,Powellhurst-Gilbert,Simple Assault,,,,
226,Portsmouth,Aggravated Assault,,,,
227,Cathedral Park,Simple Assault,,,,
228,Lloyd,Aggravated Assault,,,,
229,Hazelwood,Weapons Law Violations,,,,
230,Hosford-Abernethy,Intimidation,,,,
231,Madison South,Intimidation,,,,
232,Sylvan-Highlands,Aggravated Assault,,,,
233,Hazelwood,Simple Assault,,,,
234,Wilkes,Aggravated Assault,,,,
235,,Statutory Rape,,,,
236,Hayden Island,Fondling,,,,
237,Glenfair,Simple Assault,,,,
238,Overlook,Simple Assault,,,,
239,Eliot,Kidnapping/Abduction,,,,
240,Sunderland,Aggravated Assault,,,,
241,Centennial,Simple Assault,,,,
242,Kenton,Aggravated Assault,,,,
243,Sellwood-Moreland,Credit Card/ATM Fraud,,,,
244,Madison South,Simple Assault,,,,
245,Powellhurst-Gilbert,Aggravated Assault,,,,
246,Madison South,Simple Assault,,,,
247,Madison South,Vandalism,,,,
248,Montavilla,Simple Assault,,,,
249,Sellwood-Moreland,Aggravated Assault,,,,
250,Overlook,Vandalism,,,,
251,Hillsdale,Intimidation,,,,
252,Kenton,Simple Assault,,,,
253,Hazelwood,Aggravated Assault,,,,
254,Madison South,Intimidation,,,,
255,Creston-Kenilworth,Simple Assault,,,,
256,Sumner,Simple Assault,,,,
257,Roseway,Aggravated Assault,,,,
258,Hazelwood,Simple Assault,,,,
259,Lents,Simple Assault,,,,
260,Centennial,Aggravated Assault,,,,
261,Madison South,Murder and Non-negligent Manslaughter,,,,
262,Sellwood-Moreland,Simple Assault,,,,
263,Old Town/Chinatown,Aggravated Assault,,,,
264,King,Simple Assault,,,,
265,Parkrose,Simple Assault,,,,
266,Centennial,Simple Assault,,,,
267,King,Kidnapping/Abduction,,,,
268,Portsmouth,Simple Assault,,,,
269,,Identity Theft,,,,
