Address,Price,Beds,Baths,Sizes
"1150 NW Quimby St Unit 906, Portland, OR 97209","$1,039,900 ",2,3,"1,612sqft"
"2939 SE Beyee Blvd, Portland, OR 97202","$1,675,000 ",5,3,"4,592sqft"
"8420 NW Whitney St, Portland, OR 97231","$659,000 ",3,2,"1,680sqft"
"12807 NW Bayonne Ln, Portland, OR 97229","$769,000 ",4,3,"2,550sqft"
"1828 SW 18th Ave Apt 10, Portland, OR 97201","$400,000 ",2,2,"1,046sqft"
"4718 N Colonial Ave, Portland, OR 97217","$599,950 ",3,2,"1,440sqft"
"9101 SE Reedway St, Portland, OR 97266","$424,950 ",3,2,"1,056sqft"
"15235 NE Clackamas St, Portland, OR 97230","$449,900 ",4,3,"2,206sqft"
"12004 SE Bush St Apt D, Portland, OR 97266","$195,000 ",2,1,872sqft
"1254 SW Texas St, Portland, OR 97219","$750,000 ",3,2,"2,550sqft"
"5200 NE 92nd Ave Unit 17, Portland, OR 97220","$139,000 ",4,2,"1,848sqft"
"3607 SW 57th Ave, Portland, OR 97221","$975,000 ",4,3,"3,607sqft"
"1624 SE Rex St, Portland, OR 97202","$619,900 ",2,1,"2,080sqft"
"2309 SW 1st Ave Apt 644, Portland, OR 97201","$420,000 ",2,2,"1,497sqft"
"2617 NE 8th Ave, Portland, OR 97212","$1,075,000 ",5,4,"3,186sqft"
"4779 NW 138th Pl, Portland, OR 97229","$959,000 ",4,4,"3,722sqft"
"2216 SE Grant St, Portland, OR 97214","$585,000 ",2,1,"2,292sqft"
"5252 NE 57th Ave, Portland, OR 97218","$599,000 ",6,3,"3,152sqft"
"12138 NE Fremont St Apt 20, Portland, OR 97220","$319,000 ",3,4,"1,547sqft"
"1128 NE Skidmore St, Portland, OR 97211","$590,000 ",3,3,"1,808sqft"
"4992 NE 34th Ave, Portland, OR 97211","$654,950 ",3,3,"1,693sqft"
"4986 NE 34th Ave, Portland, OR 97211","$654,950 ",3,3,"1,693sqft"
"4353 NE Halsey St Apt 9, Portland, OR 97213","$299,900 ",2,1,"1,005sqft"
"5100 SW Hewett Blvd, Portland, OR 97221","$1,075,000 ",4,3,"3,291sqft"
"16153 NW Claremont Dr, Portland, OR 97229","$849,000 ",4,2,"2,032sqft"
"7418 SE 113th Ave, Portland, OR 97266","$499,000 ",3,2,"2,105sqft"
"2328 SE Ladd Ave, Portland, OR 97214","$649,000 ",3,2,"2,737sqft"
"7235 N Swift St, Portland, OR 97203","$335,000 ",3,1,"1,174sqft"
"2805 NE 122nd Ave, Portland, OR 97230","$389,000 ",3,2,"1,040sqft"
"1215 N Holman St, Portland, OR 97217","$499,000 ",2,1,"1,913sqft"
"9007 N Smith St, Portland, OR 97203","$448,970 ",3,2,"1,158sqft"
"10744 SW Lancaster Rd, Portland, OR 97219","$985,000 ",4,4,"4,518sqft"
"1603 SE 34th Ave, Portland, OR 97214","$1,175,000 ",4,4,"3,786sqft"
"3362 SE Tibbetts St, Portland, OR 97202","$569,000 ",2,1,"1,931sqft"
"2411 NE 111th Ave, Portland, OR 97220","$440,000 ",3,1,720sqft
"11303 SE Powell Ct, Portland, OR 97266","$449,000 ",5,2,"2,058sqft"
"5404 SW Scholls Ferry Rd, Portland, OR 97225","$449,000 ",2,2,"1,507sqft"
"7825 SE Crystal Springs Blvd, Portland, OR 97206","$385,000 ",3,1,920sqft
"5315 NE Wistaria Dr, Portland, OR 97213","$699,000 ",4,2,"2,458sqft"
"2027 NE 158th Ave, Portland, OR 97230","$499,900 ",3,2,"1,711sqft"
"1525 NE 77th Ave, Portland, OR 97213","$350,000 ",2,1,"1,494sqft"
"18526 NE Wasco St, Portland, OR 97230","$275,000 ",2,2,"1,104sqft"
"815 SE 71st Ave, Portland, OR 97215","$724,950 ",5,2,"2,184sqft"
"5246 NE Flanders St Unit 2-3, Portland, OR 97213","$799,900 ",5,3,"3,257sqft"
"8807 SE Knapp St, Portland, OR 97266","$399,999 ",2,2,"1,760sqft"
"1132 SW 19th Ave, Portland, OR 97205","$499,000 ",2,2,"1,102sqft"
"2608 NE 7th Ave, Portland, OR 97212","$740,000 ",3,2,"2,440sqft"
"2236 NE 154th Ave, Portland, OR 97230","$425,000 ",2,2,"1,286sqft"
"17125 SE Sawtooth St, Portland, OR 97236","$634,800 ",4,3,"2,952sqft"
"15325 NW Central Dr Unit 206, Portland, OR 97229","$360,000 ",2,2,"1,224sqft"
"2711 NE 28th Ave, Portland, OR 97212","$719,500 ",3,2,"1,984sqft"
