,Address,Price,Zip Code,size
0,"1150 NW Quimby St Unit 906, Portland, OR 97209",1039900,97209,1612
1,"2939 SE Beyee Blvd, Portland, OR 97202",1675000,97202,4592
2,"8420 NW Whitney St, Portland, OR 97231",659000,97231,1680
3,"12807 NW Bayonne Ln, Portland, OR 97229",769000,97229,2550
4,"1828 SW 18th Ave Apt 10, Portland, OR 97201",400000,97201,1046
5,"4718 N Colonial Ave, Portland, OR 97217",599950,97217,1440
6,"9101 SE Reedway St, Portland, OR 97266",424950,97266,1056
7,"15235 NE Clackamas St, Portland, OR 97230",449900,97230,2206
8,"12004 SE Bush St Apt D, Portland, OR 97266",195000,97266,872
9,"1254 SW Texas St, Portland, OR 97219",750000,97219,2550
10,"5200 NE 92nd Ave Unit 17, Portland, OR 97220",139000,97220,1848
11,"3607 SW 57th Ave, Portland, OR 97221",975000,97221,3607
12,"1624 SE Rex St, Portland, OR 97202",619900,97202,2080
13,"2309 SW 1st Ave Apt 644, Portland, OR 97201",420000,97201,1497
14,"2617 NE 8th Ave, Portland, OR 97212",1075000,97212,3186
15,"4779 NW 138th Pl, Portland, OR 97229",959000,97229,3722
16,"2216 SE Grant St, Portland, OR 97214",585000,97214,2292
17,"5252 NE 57th Ave, Portland, OR 97218",599000,97218,3152
18,"12138 NE Fremont St Apt 20, Portland, OR 97220",319000,97220,1547
19,"1128 NE Skidmore St, Portland, OR 97211",590000,97211,1808
20,"4992 NE 34th Ave, Portland, OR 97211",654950,97211,1693
21,"4986 NE 34th Ave, Portland, OR 97211",654950,97211,1693
22,"4353 NE Halsey St Apt 9, Portland, OR 97213",299900,97213,1005
23,"5100 SW Hewett Blvd, Portland, OR 97221",1075000,97221,3291
24,"16153 NW Claremont Dr, Portland, OR 97229",849000,97229,2032
25,"7418 SE 113th Ave, Portland, OR 97266",499000,97266,2105
26,"2328 SE Ladd Ave, Portland, OR 97214",649000,97214,2737
27,"7235 N Swift St, Portland, OR 97203",335000,97203,1174
28,"2805 NE 122nd Ave, Portland, OR 97230",389000,97230,1040
29,"1215 N Holman St, Portland, OR 97217",499000,97217,1913
30,"9007 N Smith St, Portland, OR 97203",448970,97203,1158
31,"10744 SW Lancaster Rd, Portland, OR 97219",985000,97219,4518
32,"1603 SE 34th Ave, Portland, OR 97214",1175000,97214,3786
33,"3362 SE Tibbetts St, Portland, OR 97202",569000,97202,1931
34,"2411 NE 111th Ave, Portland, OR 97220",440000,97220,720
35,"11303 SE Powell Ct, Portland, OR 97266",449000,97266,2058
36,"5404 SW Scholls Ferry Rd, Portland, OR 97225",449000,97225,1507
37,"7825 SE Crystal Springs Blvd, Portland, OR 97206",385000,97206,920
38,"5315 NE Wistaria Dr, Portland, OR 97213",699000,97213,2458
39,"2027 NE 158th Ave, Portland, OR 97230",499900,97230,1711
40,"1525 NE 77th Ave, Portland, OR 97213",350000,97213,1494
41,"18526 NE Wasco St, Portland, OR 97230",275000,97230,1104
42,"815 SE 71st Ave, Portland, OR 97215",724950,97215,2184
43,"5246 NE Flanders St Unit 2-3, Portland, OR 97213",799900,97213,3257
44,"8807 SE Knapp St, Portland, OR 97266",399999,97266,1760
45,"1132 SW 19th Ave, Portland, OR 97205",499000,97205,1102
46,"2608 NE 7th Ave, Portland, OR 97212",740000,97212,2440
47,"2236 NE 154th Ave, Portland, OR 97230",425000,97230,1286
48,"17125 SE Sawtooth St, Portland, OR 97236",634800,97236,2952
49,"15325 NW Central Dr Unit 206, Portland, OR 97229",360000,97229,1224
50,"2711 NE 28th Ave, Portland, OR 97212",719500,97212,1984
51,"836 S Curry St Unit 1804, Portland, OR 97239",1375000,97239,2541
52,"2202 NE 81st Ave, Portland, OR 97213",317900,97213,776
53,"4747 NE 88th Ave, Portland, OR 97220",349000,97220,960
54,"2521 SW Luradel St, Portland, OR 97219",680000,97219,2194
55,"6425 NE Oregon St, Portland, OR 97213",549900,97213,1894
56,"3730 SE 33rd Pl, Portland, OR 97202",385000,97202,1102
57,"2321 SW Montgomery Dr, Portland, OR 97201",974900,97201,2619
58,"834 N Simpson St, Portland, OR 97217",625000,97217,1767
59,"16174 NW Claremont Dr, Portland, OR 97229",925000,97229,1969
60,"5734 N Montana Ave Unit 4, Portland, OR 97217",337900,97217,915
61,"14221 SE Madison St, Portland, OR 97233",579900,97233,2486
62,"7545 SW 91st Ave, Portland, OR 97223",1100000,97223,3400
63,"10017 NE Shaver St, Portland, OR 97220",580000,97220,2559
64,"3310 NE 165th Ln, Portland, OR 97230",519000,97230,2200
65,"1916 NE 28th Ave, Portland, OR 97212",785000,97212,2471
66,"7404 E Burnside St, Portland, OR 97215",519900,97215,2128
67,"8730 SE Steele St, Portland, OR 97266",439900,97266,1516
68,"665 NW Falling Waters Ln Unit 103, Portland, OR 97229",515000,97229,1777
69,"2424 NE 155th Pl, Portland, OR 97230",524900,97230,2125
70,"7504 SE 13th Ave, Portland, OR 97202",849000,97202,2599
71,"12362 SE Long St, Portland, OR 97236",330000,97236,1324
72,"363 SE 146th Ave, Portland, OR 97233",250000,97233,1038
73,"5948 S Riveridge Ln, Portland, OR 97239",500000,97239,1286
74,"922 NW 11th Ave Apt 1007, Portland, OR 97209",649000,97209,1497
75,"530 N Hayden Bay Dr, Portland, OR 97217",498000,97217,2041
76,"8234 N Chautauqua Blvd, Portland, OR 97217",525000,97217,1906
77,"5798 NW Landing Dr, Portland, OR 97229",555000,97229,1248
78,"2355 NE 167th Pl, Portland, OR 97230",719000,97230,2549
79,"8324 SW 7th Ave, Portland, OR 97219",809000,97219,3500
80,"14127 SE Rhone St, Portland, OR 97236",399999,97236,1252
81,"2678 NW Kennedy Ct, Portland, OR 97229",400000,97229,1422
82,"556 N Buffalo St, Portland, OR 97217",519900,97217,2681
83,"2825 NW Birkendene St, Portland, OR 97229",959900,97229,3375
84,"3306 SE 77th Ave, Portland, OR 97206",479900,97206,1978
85,"4710 SE Anderegg Loop, Portland, OR 97236",489000,97236,2627
86,"6336 SE 142nd Ave, Portland, OR 97236",319000,97236,1296
87,"6506 SE 19th Ave, Portland, OR 97202",635000,97202,1436
88,"4175 SW Council Crest Dr, Portland, OR 97239",874900,97239,3445
89,"3504 SW Caldew St, Portland, OR 97219",549500,97219,1712
90,"3904 N Juneau St, Portland, OR 97217",289000,97217,1150
91,"112 SE 78th Ave, Portland, OR 97215",699900,97215,1624
92,"3835 NE Bryce St, Portland, OR 97212",850000,97212,2845
93,"2220 SE Yamhill St, Portland, OR 97214",515000,97214,1716
94,"6106 NE 32nd Pl, Portland, OR 97211",625000,97211,1825
95,"6535 SW Canyon Ct, Portland, OR 97225",440000,97225,1826
96,"4412 SE 47th Ave, Portland, OR 97206",559000,97206,2110
97,"5523 SE Cesar E Chavez Blvd, Portland, OR 97202",515000,97202,2088
98,"11556 SE Yamhill St, Portland, OR 97216",377500,97216,848
99,"10234 SE Market Dr, Portland, OR 97216",525000,97216,2340
100,"5511 NE 59th Ave, Portland, OR 97218",399000,97218,2116
101,"5420 SE Knapp St, Portland, OR 97206",649900,97206,1800
102,"3937 NE 37th Ave, Portland, OR 97212",1395000,97212,3703
103,"5424 SE Knapp St, Portland, OR 97206",649900,97206,1800
104,"1751 SE 162nd Ave, Portland, OR 97233",468000,97233,1934
105,"2334 NE 19th Ave, Portland, OR 97212",929000,97212,2477
106,"7136 N Chase Ave, Portland, OR 97217",799000,97217,2600
107,"3004 NE 47th Ave, Portland, OR 97213",875000,97213,3045
108,"2140 SE 104th Dr, Portland, OR 97216",615000,97216,3284
109,"509 NE Mariners Loop, Portland, OR 97211",499900,97211,1618
110,"15584 NW Graf St, Portland, OR 97229",749999,97229,2342
111,"6406 SE 34th Ave, Portland, OR 97202",1299900,97202,3802
112,"1307 SE 141st Ave, Portland, OR 97233",424900,97233,1368
113,"18124 SE Stephens St, Portland, OR 97233",349999,97233,1066
114,"6231 NE Going St, Portland, OR 97218",598000,97218,1444
115,"1001 NW Lovejoy St Ph 3, Portland, OR 97209",4750000,97209,3308
116,"841 S Gaines St Unit 1612, Portland, OR 97239",1249000,97239,2156
117,"6730 SW 60th Ave, Portland, OR 97219",599900,97219,2176
118,"8043 N Hurst Ave, Portland, OR 97203",460000,97203,1674
119,"5002 SW Custer St, Portland, OR 97219",799900,97219,2050
120,"16500 NE Holladay St, Portland, OR 97230",500000,97230,1708
121,"9280 SW 8th Ave, Portland, OR 97219",675000,97219,2766
122,"19006 NE Clackamas St, Gresham, OR 97230",419000,97230,2001
123,"5319 NW 128th Ter, Portland, OR 97229",835000,97229,3457
124,"7725 SE 62nd Ave, Portland, OR 97206",429900,97206,966
125,"6020 SE Bush St, Portland, OR 97206",1195000,97206,4036
126,"7115 N Fenwick Ave, Portland, OR 97217",600000,97217,1632
127,"6030 NE Simpson St, Portland, OR 97218",349900,97218,927
128,"1218 NW Frazier Ct, Portland, OR 97229",1250000,97229,3108
129,"9525 NE Gertz Cir, Portland, OR 97211",309900,97211,738
130,"3225 NE 84th Ave, Portland, OR 97220",489000,97220,1814
131,"852 NE Roselawn St, Portland, OR 97211",625000,97211,1916
132,"4420 SW 58th Ave, Portland, OR 97221",2179000,97221,4293
133,"10424 NW Laidlaw Rd, Portland, OR 97229",2349500,97229,5307
134,"10827 E Burnside St, Portland, OR 97216",372000,97216,1345
135,"3234 SE 24th Ave, Portland, OR 97202",599000,97202,2372
136,"12345 SE Long St, Portland, OR 97236",314500,97236,1243
137,"17025 NE Glisan St, Portland, OR 97230",410000,97230,1017
138,"3034 NE 36th Ave, Portland, OR 97212",1200000,97212,2082
139,"3029 S Water Ave, Portland, OR 97201",439000,97201,2632
140,"2394 NE 148th Pl, Portland, OR 97230",414900,97230,1307
141,"3776 SE 8th Ave, Portland, OR 97202",487500,97202,2228
142,"5315 NE Cleveland Ave, Portland, OR 97211",859000,97211,2999
143,"4705 SE Steele St, Portland, OR 97206",699900,97206,2648
144,"9610 SE Crystal View Dr, Portland, OR 97266",759000,97266,3259
145,"5734 NE 10th Ave, Portland, OR 97211",599900,97211,1976
146,"3673 SE Rex St, Portland, OR 97202",729900,97202,1693
147,"2310 SE 157th Ave, Portland, OR 97233",475000,97233,1601
148,"2409 NW Marshall St, Portland, OR 97210",1300000,97210,6223
149,"7439 N Huron Ave, Portland, OR 97203",549000,97203,1812
150,"1 NE Wygant St, Portland, OR 97211",429000,97211,1200
151,"5744 SE Insley St, Portland, OR 97206",595000,97206,1361
152,"10511 SW 42nd Ave, Portland, OR 97219",769900,97219,2563
153,"6930 N McKenna Ave, Portland, OR 97203",550000,97203,1780
154,"1021 NE 195th Ave, Portland, OR 97230",410000,97230,1925
155,"633 N Webster St, Portland, OR 97217",485000,97217,2044
156,"611 SE 142nd Ave Unit B, Portland, OR 97233",339900,97233,864
157,"1440 SW Broadway Dr, Portland, OR 97201",457000,97201,2340
158,"4142 N Overlook Blvd, Portland, OR 97217",699900,97217,2560
159,"3553 N Missouri Ave, Portland, OR 97227",499900,97227,1598
160,"3052 SE 161st Ave, Portland, OR 97236",435000,97236,1434
161,"611 SE 142nd Ave Unit A, Portland, OR 97233",399900,97233,1510
162,"11945 NW Vallevue Pl, Portland, OR 97229",600000,97229,3098
163,"1001 NW Lovejoy St Unit TH802, Portland, OR 97209",999500,97209,1726
164,"7501 SW Canyon Rd, Portland, OR 97225",700000,97225,2410
165,"1627 N Jantzen Ave, Portland, OR 97217",549000,97217,1256
166,"6726 E Burnside St, Portland, OR 97215",499000,97215,1552
167,"4715 NE 108th Ave, Portland, OR 97220",590000,97220,2696
168,"3900 SW Hillsdale Ave, Portland, OR 97239",1350000,97239,3082
169,"2241 NW Pettygrove St Apt 1, Portland, OR 97210",520000,97210,1134
170,"19735 NW Quail Hollow Dr, Portland, OR 97229",369900,97229,958
171,"942 NE Floral Pl, Portland, OR 97232",824900,97232,2816
172,"842 SW Broadway Dr Unit 2, Portland, OR 97201",759000,97201,2185
173,"7575 SE 156th Ave, Portland, OR 97236",614900,97236,2925
174,"36 SE 72nd Ave, Portland, OR 97215",699000,97215,1792
175,"1717 SE 151st Ave, Portland, OR 97233",439000,97233,2112
176,"11879 NW Weaver Ln Lot 72, Portland, OR 97229",1099950,97229,3252
177,"15144 NW Cosmos St, Portland, OR 97229",748000,97229,1997
178,"6706 SE Steele St, Portland, OR 97206",375000,97206,1992
179,"7610 SE 69th Ave, Portland, OR 97206",399900,97206,1026
180,"1310 NW Naito Pkwy Unit 407A, Portland, OR 97209",549000,97209,1735
181,"7519 SE 70th Ave, Portland, OR 97206",399900,97206,1128
182,"3107 SE Crystal Springs Blvd, Portland, OR 97202",650000,97202,1862
183,"3833 NE 77th Ave, Portland, OR 97213",610000,97213,2544
184,"703 NE 79th Ave, Portland, OR 97213",789000,97213,3000
185,"1234 N Kilpatrick St, Portland, OR 97217",499000,97217,1472
186,"2207 SE Tibbetts St, Portland, OR 97202",731000,97202,2780
187,"2412 N Hunt St, Portland, OR 97217",529000,97217,1586
188,"7825 SE Reed College Pl, Portland, OR 97202",915000,97202,3363
189,"6515 NE Cleveland Ave, Portland, OR 97211",750000,97211,2980
190,"2012 NE 158th Ave, Portland, OR 97230",499000,97230,1706
191,"8520 N John Ave, Portland, OR 97203",499900,97203,1080
192,"13243 NE Sacramento Dr, Portland, OR 97230",549900,97230,2368
193,"12740 SE Salmon St, Portland, OR 97233",429900,97233,2379
194,"3921 SE Salmon St, Portland, OR 97214",870000,97214,2676
195,"11840 NE Sacramento St, Portland, OR 97220",415000,97220,1410
196,"4734 NE 30th Ave, Portland, OR 97211",399000,97211,1260
197,"4635 S Corbett Ave, Portland, OR 97239",545000,97239,1942
198,"11611 SE Yamhill St, Portland, OR 97216",320000,97216,1775
199,"3224 SW Fairmount Blvd, Portland, OR 97239",800000,97239,2427
200,"7106 NE 13th Ave, Portland, OR 97211",499900,97211,3015
201,"3962 N Montana Ave, Portland, OR 97227",524950,97227,2487
202,"4518 SE 87th Ave, Portland, OR 97266",375000,97266,1002
203,"3808 NE 74th Ave, Portland, OR 97213",519900,97213,1550
204,"2367 NW 141st Pl, Portland, OR 97229",1249900,97229,4243
205,"16122 NE Siskiyou St, Portland, OR 97230",495000,97230,1758
206,"3821 SE Tenino St, Portland, OR 97202",849900,97202,2532
207,"5627 SE 139th Ave, Portland, OR 97236",499000,97236,2573
208,"14 SE 105th Ave, Portland, OR 97216",315000,97216,1022
209,"5135 SE 41st Ave, Portland, OR 97202",549000,97202,2088
210,"830 SE 179th Ave, Portland, OR 97233",464900,97233,2136
211,"5236 N Greeley Ave, Portland, OR 97217",840000,97217,2616
212,"3604 SE Morrison St, Portland, OR 97214",675000,97214,2589
213,"15104 NW Twoponds Dr, Portland, OR 97229",549900,97229,1524
214,"2955 N Argyle St, Portland, OR 97217",625000,97217,1875
215,"4025 NE 69th Ave, Portland, OR 97213",475000,97213,731
216,"2221 SW 1st Ave Apt 1824, Portland, OR 97201",495000,97201,1473
217,"14412 NW Whistler Ln, Portland, OR 97229",790000,97229,2835
218,"2445 NW Westover Rd Unit 201, Portland, OR 97210",600000,97210,1264
219,"7403 N Omaha Ave, Portland, OR 97217",375000,97217,768
220,"2504 NE 32nd Pl, Portland, OR 97212",700000,97212,2780
221,"5003 NE Halsey St, Portland, OR 97213",660000,97213,2114
222,"9233 SW 52nd Ave, Portland, OR 97219",875000,97219,2933
223,"2604 SW Stanley Ct, Portland, OR 97219",649900,97219,1820
224,"4114 NE 76th Ave, Portland, OR 97218",449000,97218,1364
225,"3924 SE Woodward St, Portland, OR 97202",825000,97202,3119
226,"7510 NW Lauren Ave, Portland, OR 97229",699000,97229,1999
227,"4417 NE Killingsworth St Unit 113, Portland, OR 97218",439000,97218,1551
228,"836 NE 78th Ave, Portland, OR 97213",425000,97213,788
229,"2728 SE 70th Ave, Portland, OR 97206",635000,97206,2464
230,"9155 SW 23rd Dr, Portland, OR 97219",399900,97219,1056
231,"2438 NW Jean Ln, Portland, OR 97229",575000,97229,2028
232,"8954 N Van Houten Ave, Portland, OR 97203",639000,97203,2688
233,"14010 NW Tradewind St, Portland, OR 97229",829900,97229,2636
234,"4623 NE 15th Ave, Portland, OR 97211",649950,97211,1884
235,"4504 NE 25th Ave, Portland, OR 97211",639000,97211,2472
236,"10420 SE Raymond St, Portland, OR 97266",445000,97266,1681
237,"204 SE 32nd Ave, Portland, OR 97214",950000,97214,3123
238,"1625 SW Montgomery St Unit B, Portland, OR 97201",949000,97201,2634
239,"1116 NE 60th Ave, Portland, OR 97213",320000,97213,912
240,"11902 SW 60th Ave, Portland, OR 97219",985000,97219,4369
241,"7227 SW 5th Ave, Portland, OR 97219",600000,97219,2438
242,"8308 SE 64th Ave, Portland, OR 97206",529950,97206,2508
243,"1320 SW Hall St Apt 103, Portland, OR 97201",349500,97201,1206
244,"7222 SE 36th Ave, Portland, OR 97202",675000,97202,1712
245,"4734 SW Coronado St, Portland, OR 97219",475000,97219,1080
246,"10505 SW 43rd Ave, Portland, OR 97219",574990,97219,2030
247,"1476 NE Sumner St, Portland, OR 97211",575000,97211,1774
248,"45 S Mitchell St, Portland, OR 97239",519900,97239,1716
249,"8240 NE Thompson St, Portland, OR 97220",474900,97220,1272
250,"2319 NE 92nd Ave, Portland, OR 97220",485000,97220,1546
251,"8219 SE 67th Ave, Portland, OR 97206",419900,97206,1381
252,"5614 NE 14th Ave, Portland, OR 97211",540000,97211,1824
253,"3544 SE 158th Ave, Portland, OR 97236",415000,97236,3136
